Date,Open,High,Low,Close,Adj Close,Volume,,,,
2/25/2022,1566.25,1625,1550,1573.199951,1573.052734,101266,,,,
2/28/2022,1524.699951,1604.949951,1510.300049,1588.5,1588.351318,305348,,,,
3/2/2022,1592,1667.900024,1550.300049,1667.900024,1667.743896,123179,,,,
3/3/2022,1735,1751.25,1701.300049,1751.25,1751.08606,134848,,,,
3/4/2022,1769.949951,1838,1733,1805.199951,1805.031006,307022,,,,
3/7/2022,1769.099976,1789.800049,1714.949951,1714.949951,1714.789429,162241,,,,
3/8/2022,1692,1755.050049,1629.25,1629.650024,1629.497559,263876,,,,
3/9/2022,1650,1695.400024,1601,1615.349976,1615.198853,169156,,,,
3/10/2022,1644.900024,1696.099976,1622.050049,1696.050049,1695.891357,358381,,,,
3/11/2022,1686.150024,1714,1649.25,1661.849976,1661.694458,135449,,,,
3/14/2022,1664.900024,1677.300049,1642.050049,1650.349976,1650.195557,277776,,,,
3/15/2022,1655,1673,1610,1624.400024,1624.248047,242931,,,,
3/16/2022,1631,1696.900024,1631,1685.099976,1684.942261,308775,,,,
3/17/2022,1701.25,1769.349976,1682.25,1766.800049,1766.634766,706012,,,,
3/21/2022,1810.199951,1836.900024,1790.650024,1814.150024,1813.980225,157858,,,,
3/22/2022,1845.449951,1904.849976,1805,1883.949951,1883.773682,334089,,,,
3/23/2022,1889,1914,1845,1898,1897.822388,411440,,,,
3/24/2022,1910,1992.900024,1855,1979.75,1979.564697,294149,,,,
3/25/2022,2015,2069,1977.75,2054.600098,2054.407715,205342,,,,
3/28/2022,2095,2221.949951,2080,2141.199951,2140.999512,370493,,,,
3/29/2022,2179,2190,2090,2180.800049,2180.595947,239910,,,,
3/30/2022,2179,2242.899902,2070,2124.649902,2124.451172,233133,,,,
3/31/2022,2100,2208.949951,2096,2149.800049,2149.598877,241990,,,,
4/1/2022,2178.550049,2281,2155.649902,2249.5,2249.289551,239883,,,,
4/4/2022,2280,2382,2268,2369.800049,2369.578369,274461,,,,
4/5/2022,2366.800049,2485,2310,2468.149902,2467.918945,267152,,,,
4/6/2022,2489.949951,2560,2468.149902,2536.949951,2536.712646,343764,,,,
4/7/2022,2530,2600,2303,2362.699951,2362.47876,506677,,,,
4/8/2022,2399.800049,2450,2378.850098,2427.100098,2426.873047,159992,,,,
4/11/2022,2469,2669.800049,2469,2665,2664.750732,553146,,,,
4/12/2022,2700,2740,2454.050049,2502.050049,2501.815918,804605,,,,
4/13/2022,2545,2569.949951,2465.449951,2500.850098,2500.615967,213500,,,,
4/18/2022,2482.5,2520.050049,2322.699951,2495,2494.766602,288489,,,,
4/19/2022,2522,2552,2300,2369.399902,2369.178223,420809,,,,
4/20/2022,2421,2500,2415,2478.399902,2478.167969,290667,,,,
4/21/2022,2509,2530,2415.199951,2443.350098,2443.121338,292017,,,,
4/22/2022,2420,2480,2393,2413,2412.77417,197099,,,,
4/25/2022,2419,2474.75,2400,2420,2419.773438,268339,,,,
4/26/2022,2478.149902,2595,2430,2562.5,2562.260254,702985,,,,
4/27/2022,2573.050049,2580,2448.649902,2503,2502.765869,345199,,,,
4/28/2022,2553,2628,2532.100098,2562.600098,2562.360352,465693,,,,
4/29/2022,2599.399902,2609.699951,2373.699951,2450.949951,2450.720703,659458,,,,
5/2/2022,2451,2520,2442.149902,2488.199951,2487.967041,305245,,,,
5/4/2022,2450,2504.949951,2434.050049,2447.050049,2446.821045,310199,,,,
5/5/2022,2375.050049,2495,2361.050049,2450.5,2450.270752,416552,,,,
5/6/2022,2375,2476,2370.149902,2437.649902,2437.421875,359823,,,,
5/9/2022,2400,2423.399902,2300,2375.25,2375.027832,305943,,,,
5/10/2022,2376.149902,2438,2301,2360.649902,2360.428955,469693,,,,
5/11/2022,2345,2454,2236.050049,2355.050049,2354.82959,508758,,,,
5/12/2022,2362.5,2398,2166.050049,2294.100098,2293.885498,602564,,,,
5/13/2022,2311,2490,2311,2369.100098,2368.878418,554235,,,,
5/16/2022,2340,2424.800049,2312.350098,2388.550049,2388.326416,154088,,,,
5/17/2022,2414.149902,2518,2385.149902,2500.5,2500.266113,371040,,,,
5/18/2022,2543,2561.949951,2460,2485.699951,2485.467285,412949,,,,
5/19/2022,2419,2449.899902,2350,2378.5,2378.277344,210243,,,,
5/20/2022,2449.800049,2460,2355.800049,2380.350098,2380.127441,444435,,,,
5/23/2022,2400,2434.699951,2311.199951,2331.600098,2331.381836,292937,,,,
5/24/2022,2377,2394.949951,2290,2328.25,2328.032227,295781,,,,
5/25/2022,2315,2328,2185.699951,2216.949951,2216.742432,304532,,,,
5/26/2022,2230,2438.600098,2145,2391.350098,2391.126221,365372,,,,
5/27/2022,2440,2485.75,2360,2456.449951,2456.219971,308232,,,,
5/30/2022,2468,2610,2465.050049,2589.5,2589.257568,357491,,,,
5/31/2022,2580,2624,2335.899902,2397.899902,2397.675537,1523242,,,,
6/1/2022,2380.899902,2458.600098,2276,2325.899902,2325.682129,705859,,,,
6/2/2022,2330,2495.25,2295.149902,2445.850098,2445.621338,487748,,,,
6/3/2022,2467,2467,2353.100098,2390.449951,2390.226318,388286,,,,
6/6/2022,2379,2511.199951,2284,2480.100098,2479.86792,266574,,,,
6/7/2022,2480,2585.600098,2401,2498.949951,2498.716064,430802,,,,
6/8/2022,2480.149902,2524.899902,2426.199951,2447.350098,2447.121094,268958,,,,
6/9/2022,2429,2515,2411.300049,2498.050049,2497.816162,281257,,,,
6/10/2022,2430,2485,2370.899902,2398.300049,2398.075684,318811,,,,
6/13/2022,2335.100098,2407.449951,2321.300049,2337.550049,2337.331299,287801,,,,
6/14/2022,2325,2400,2302,2374.699951,2374.477783,268064,,,,
6/15/2022,2383.699951,2419.949951,2332,2351.800049,2351.580078,311850,,,,
6/16/2022,2375,2410,2241.899902,2376.5,2376.277588,478333,,,,
6/17/2022,2330,2353.25,2062.25,2149.050049,2148.848877,1100784,,,,
6/20/2022,2152,2177,1948,1989.199951,1989.013794,559207,,,,
6/21/2022,2000.5,2387,1980.150024,2382.899902,2382.677002,1049282,,,,
6/22/2022,2380,2458.800049,2231,2270.800049,2270.587646,1629448,,,,
6/23/2022,2290,2320,2195.850098,2264.649902,2264.437988,703032,,,,
6/24/2022,2284.899902,2335,2265,2291.600098,2291.385742,323814,,,,
6/27/2022,2301.949951,2319.850098,2262.199951,2289.800049,2289.585693,200440,,,,
6/28/2022,2285,2410,2230,2394.399902,2394.175781,474019,,,,
6/29/2022,2350,2464,2330.75,2347.699951,2347.480225,535713,,,,
6/30/2022,2424,2445,2371.550049,2392.899902,2392.676025,627112,,,,
7/1/2022,2392.550049,2442.949951,2370,2389,2388.776367,436503,,,,
7/4/2022,2405.600098,2429.899902,2377,2396.800049,2396.575684,322319,,,,
7/5/2022,2400.050049,2434.800049,2362.449951,2410.449951,2410.224365,355962,,,,
7/6/2022,2426.800049,2487.800049,2410.449951,2475.350098,2475.118408,257988,,,,
7/7/2022,2499.850098,2546,2465.050049,2485.75,2485.517334,160658,,,,
7/8/2022,2490,2564,2470.5,2540.800049,2540.562256,230639,,,,
7/11/2022,2550,2775,2502.149902,2716.649902,2716.395752,974385,,,,
7/12/2022,2690,2844.949951,2685.050049,2797.550049,2797.28833,931697,,,,
7/13/2022,2830,2867.5,2646,2672.100098,2671.850098,715239,,,,
7/14/2022,2689,2832,2601,2764.850098,2764.850098,592269,,,,
7/15/2022,2800,2847.649902,2731.050049,2807.699951,2807.699951,572560,,,,
7/18/2022,2832,2859.899902,2767.600098,2832.800049,2832.800049,461187,,,,
7/19/2022,2817,2847,2765.100098,2832.350098,2832.350098,456761,,,,
7/20/2022,2849.850098,2860.449951,2728.100098,2779.949951,2779.949951,341959,,,,
7/21/2022,2785,2893,2741.050049,2876.600098,2876.600098,737814,,,,
7/22/2022,2878.850098,2889.699951,2816.100098,2874.199951,2874.199951,339750,,,,
7/25/2022,2860,2924.199951,2836.850098,2878.850098,2878.850098,363143,,,,
7/26/2022,2890,2912,2841.5,2898.199951,2898.199951,230808,,,,
7/27/2022,2908,2977.949951,2885,2960.100098,2960.100098,310009,,,,
7/28/2022,2977,3018,2958.300049,3005.899902,3005.899902,258796,,,,
7/29/2022,3035,3158,3014,3127.199951,3127.199951,457762,,,,
8/1/2022,3144,3232.300049,3080,3217.649902,3217.649902,495733,,,,
8/2/2022,3210,3265.550049,3173.199951,3248.850098,3248.850098,500363,,,,
8/3/2022,3240,3299,2811,3269.949951,3269.949951,336678,,,,
8/4/2022,3284.850098,3389,3180,3349.649902,3349.649902,672043,,,,
8/5/2022,3365.899902,3378.800049,3302.550049,3347.399902,3347.399902,502620,,,,
8/8/2022,3363.949951,3474,3287.25,3365,3365,514366,,,,
8/10/2022,3388,3390,3271,3351.399902,3351.399902,551856,,,,
8/11/2022,3362,3399.300049,3309,3352.300049,3352.300049,473134,,,,
8/12/2022,3347,3439.800049,3338.350098,3425.399902,3425.399902,453978,,,,
8/16/2022,3438.300049,3498,3415.399902,3489.699951,3489.699951,230770,,,,
8/17/2022,3485.699951,3533.449951,3405,3471.850098,3471.850098,295428,,,,
8/18/2022,3460,3495,3434.100098,3463.300049,3463.300049,582583,,,,
8/19/2022,3480,3491.850098,3328,3390.899902,3390.899902,492655,,,,
8/22/2022,3390.899902,3440,3305,3364.300049,3364.300049,346319,,,,
8/23/2022,3300,3448,3239.300049,3430.949951,3430.949951,497088,,,,
8/24/2022,3362.350098,3459,3335,3427.800049,3427.800049,459108,,,,
8/25/2022,3420,3440,3340,3365.199951,3365.199951,185491,,,,
8/26/2022,3365.5,3472,3365.5,3459.649902,3459.649902,504729,,,,
8/29/2022,3301,3550,3301,3537.399902,3537.399902,608809,,,,
8/30/2022,3550,3816,3550,3744.949951,3744.949951,1274580,,,,
9/1/2022,3684.050049,3727.699951,3580,3639.25,3639.25,586989,,,,
9/2/2022,3665,3736,3566,3622.850098,3622.850098,360875,,,,
9/5/2022,3588.050049,3646.199951,3505,3530.600098,3530.600098,249706,,,,
9/6/2022,3545.949951,3710,3535.949951,3682.850098,3682.850098,355296,,,,
9/7/2022,3680,3764.949951,3642,3661.25,3661.25,330913,,,,
9/8/2022,3685.800049,3712,3605,3629.899902,3629.899902,261326,,,,
9/9/2022,3670,3695,3612,3633.300049,3633.300049,204584,,,,
9/12/2022,3653.75,3679.850098,3600,3635.399902,3635.399902,194549,,,,
9/13/2022,3642,3668.449951,3585,3604.75,3604.75,220809,,,,
9/14/2022,3570,3620,3550.550049,3564.399902,3564.399902,179827,,,,
9/15/2022,3565,3704.699951,3554.399902,3601.350098,3601.350098,326756,,,,
9/16/2022,3608.949951,3631.800049,3469.199951,3528.800049,3528.800049,604559,,,,
9/19/2022,3546.449951,3646,3489.649902,3620.050049,3620.050049,267621,,,,
9/20/2022,3657.949951,3725,3646.050049,3674.949951,3674.949951,398494,,,,
9/21/2022,3690,3740,3538.100098,3565.5,3565.5,368952,,,,
9/22/2022,3565,3644.949951,3491,3629.899902,3629.899902,229512,,,,
9/23/2022,3642.100098,3663.300049,3526.199951,3545.25,3545.25,143552,,,,
9/26/2022,3500,3527.449951,3275.649902,3371.050049,3371.050049,395275,,,,
9/27/2022,3371.050049,3499.899902,3331.800049,3378.699951,3378.699951,483227,,,,
9/28/2022,3360,3485,3335,3448.050049,3448.050049,267366,,,,
9/29/2022,3508,3574.800049,3303.399902,3372.25,3372.25,2436698,,,,
9/30/2022,3344,3416.449951,3251.100098,3339.850098,3339.850098,527566,,,,
10/3/2022,3329.899902,3424.649902,2965.649902,3100.800049,3100.800049,578177,,,,
10/4/2022,3182,3263.449951,3102.5,3216.149902,3216.149902,475008,,,,
10/6/2022,3262,3321.800049,3244.350098,3308,3308,461996,,,,
10/7/2022,3304.600098,3304.600098,3137.550049,3187.600098,3187.600098,440350,,,,
10/10/2022,3164.199951,3189,3120,3161,3161,275699,,,,
10/11/2022,3200,3219.949951,3150,3173.600098,3173.600098,296173,,,,
10/12/2022,3180,3224,3167.850098,3202.850098,3202.850098,329608,,,,
10/13/2022,3190,3238,3151.25,3177.350098,3177.350098,222741,,,,
10/14/2022,3225,3240,3006,3047.149902,3047.149902,320461,,,,
10/17/2022,3047,3135,2976,3099.300049,3099.300049,193751,,,,
10/18/2022,3114.800049,3199,3110.050049,3152.850098,3152.850098,295584,,,,
10/19/2022,3168.649902,3238.350098,3121.100098,3166.850098,3166.850098,467958,,,,
10/20/2022,3150,3325.149902,3141.149902,3277.100098,3277.100098,422771,,,,
10/21/2022,3293.5,3293.5,3186.5,3261.75,3261.75,174257,,,,
10/24/2022,3280,3291.149902,3240.050049,3267.300049,3267.300049,29267,,,,
10/25/2022,3283.649902,3433.949951,3251,3382.949951,3382.949951,216330,,,,
10/27/2022,3403.199951,3549,3395,3507.75,3507.75,684860,,,,
10/28/2022,3525.300049,3525.300049,3421.600098,3444.050049,3444.050049,312597,,,,
10/31/2022,3460,3658.699951,3423,3602.850098,3602.850098,284614,,,,
11/1/2022,3620.899902,3720.5,3537.050049,3681.199951,3681.199951,369944,,,,
11/2/2022,3679.899902,3693.050049,3602.100098,3637.300049,3637.300049,280173,,,,
11/3/2022,3620,3688.350098,3557,3660.899902,3660.899902,256243,,,,
11/4/2022,3659,3800,3501,3759.25,3759.25,349779,,,,
11/7/2022,3759,3845,3690.699951,3800.399902,3800.399902,529323,,,,
11/9/2022,3800.399902,3891.25,3720.100098,3795.199951,3795.199951,422176,,,,
11/10/2022,3790,3820,3663.399902,3707.100098,3707.100098,252727,,,,
11/11/2022,3725.649902,3810.5,3722,3800.600098,3800.600098,248079,,,,
11/14/2022,3805,3888,3770.050049,3870.300049,3870.300049,218406,,,,
11/15/2022,3888.350098,3912.399902,3811,3885.300049,3885.300049,237581,,,,
11/16/2022,3865,3880,3752,3809.649902,3809.649902,316610,,,,
11/17/2022,3808.949951,3859.199951,3715,3753.449951,3753.449951,246287,,,,
11/18/2022,3767.25,3773.800049,3608,3644.649902,3644.649902,219386,,,,
11/21/2022,3615,3688,3560,3661,3661,136427,,,,
11/22/2022,3661,3685,3581,3671.399902,3671.399902,164102,,,,
11/23/2022,3685.550049,3794.75,3671.449951,3752.449951,3752.449951,205491,,,,
11/24/2022,3730,3780,3686.149902,3731,3731,125461,,,,
11/25/2022,3741.949951,3745,3631,3664.75,3664.75,224375,,,,
11/28/2022,3626,3768.199951,3545.199951,3605.149902,3605.149902,349032,,,,
11/29/2022,3589.199951,3658,3552.25,3600,3600,184715,,,,
11/30/2022,3599.949951,3668,3566.149902,3632.75,3632.75,620284,,,,
12/1/2022,3650.949951,3698,3585,3612.399902,3612.399902,151309,,,,
12/2/2022,3634,3645,3525.300049,3579.649902,3579.649902,224342,,,,
12/5/2022,3597.550049,3620,3382.199951,3590.100098,3590.100098,276317,,,,
12/6/2022,3592.199951,3724.699951,3565.550049,3696.850098,3696.850098,268871,,,,
12/7/2022,3716.399902,3786,3691,3730.350098,3730.350098,259618,,,,
12/8/2022,3760.399902,3779,3655.5,3694.899902,3694.899902,150349,,,,
12/9/2022,3680,3720,3606,3621.300049,3621.300049,242005,,,,
12/12/2022,3634.949951,3687.25,3601.649902,3641,3641,203019,,,,
12/13/2022,3659.800049,3668.199951,3551,3586.300049,3586.300049,346102,,,,
12/14/2022,3589.899902,3652,3461.800049,3517.850098,3517.850098,346571,,,,
12/15/2022,3520,3595.5,3504.050049,3550.75,3550.75,268903,,,,
12/16/2022,3546.949951,3619,3520,3584.800049,3584.800049,320375,,,,
12/19/2022,3584.949951,3650,3571.100098,3618.449951,3618.449951,184705,,,,
12/20/2022,3634.449951,3634.449951,3563.199951,3614.199951,3614.199951,195335,,,,
12/21/2022,3619.949951,3673.649902,3475,3544.699951,3544.699951,328200,,,,
12/22/2022,3545,3584,3410.300049,3551.550049,3551.550049,239705,,,,
12/23/2022,3503.5,3551,3176,3232.600098,3232.600098,417221,,,,
12/26/2022,3239.949951,3359.699951,3100.100098,3311.699951,3311.699951,230869,,,,
12/27/2022,3328,3374.699951,3286.949951,3352.899902,3352.899902,131985,,,,
12/28/2022,3335,3629.949951,3328,3605.800049,3605.800049,768728,,,,
12/29/2022,3560,3999,3508,3793,3793,768731,,,,
12/30/2022,3861.949951,3887.800049,3646,3692.850098,3692.850098,686265,,,,
1/2/2023,3700,3730,3530,3550.600098,3550.600098,332645,,,,
1/3/2023,3568,3650,3502,3598.649902,3598.649902,307015,,,,
1/4/2023,3584.949951,3599.949951,3450,3477.300049,3477.300049,365884,,,,
1/5/2023,3509.899902,3669.949951,3472.050049,3633.699951,3633.699951,468166,,,,
1/6/2023,3626,3629.949951,3521,3555.399902,3555.399902,283873,,,,
1/9/2023,3591,3666,3576.600098,3629,3629,471678,,,,
1/10/2023,3630,3699,3490,3656.399902,3656.399902,445188,,,,
1/11/2023,3656.399902,3668,3572.550049,3616.5,3616.5,302285,,,,
1/12/2023,3599,3675,3552,3649.050049,3649.050049,453399,,,,
1/13/2023,3649.949951,3742,3615.600098,3715.100098,3715.100098,566844,,,,
1/16/2023,3693.699951,3739.899902,3652,3730.699951,3730.699951,180696,,,,
1/17/2023,3727.699951,3899,3695.050049,3850,3850,732003,,,,
1/18/2023,3862.149902,3884,3776,3805.449951,3805.449951,487214,,,,
1/19/2023,3785,3879,3735,3835.550049,3835.550049,461226,,,,
1/20/2023,3835.550049,3935,3802,3918.899902,3918.899902,447521,,,,
1/23/2023,3939,4000,3865.149902,3901.100098,3901.100098,564577,,,,
1/24/2023,3936,3940,3851,3891.75,3891.75,350178,,,,
1/25/2023,3870,3884.850098,3600,3660,3660,515358,,,,
1/27/2023,3477,3477,2928,2928,2928,1237800,,,,
1/30/2023,2501,2538,2342.399902,2342.399902,2342.399902,1888555,,,,
1/31/2023,2145,2155,2108.199951,2108.199951,2108.199951,531326,,,,
2/1/2023,1951,1998.800049,1897.400024,1897.400024,1897.400024,1570400,,,,
2/2/2023,1707.699951,1707.699951,1707.699951,1707.699951,1707.699951,64276,,,,
2/3/2023,1622.349976,1622.349976,1622.349976,1622.349976,1622.349976,62458,,,,
2/6/2023,1541.25,1541.25,1541.25,1541.25,1541.25,77660,,,,
2/7/2023,1464.199951,1519,1464.199951,1464.199951,1464.199951,3561024,,,,
2/8/2023,1391,1391,1391,1391,1391,420769,,,,
2/9/2023,1321.449951,1321.449951,1321.449951,1321.449951,1321.449951,200127,,,,
2/10/2023,1255.400024,1255.400024,1255.400024,1255.400024,1255.400024,51732,,,,
2/13/2023,1192.650024,1192.650024,1192.650024,1192.650024,1192.650024,44997,,,,
2/14/2023,1133.050049,1133.050049,1133.050049,1133.050049,1133.050049,52107,,,,
2/15/2023,1076.400024,1076.400024,1076.400024,1076.400024,1076.400024,74780,,,,
2/16/2023,1022.599976,1130.199951,1022.599976,1022.599976,1022.599976,5922981,,,,
2/17/2023,992.299988,1015.400024,971.5,971.5,971.5,1300386,,,,
2/20/2023,922.950012,922.950012,922.950012,922.950012,922.950012,68313,,,,
2/21/2023,876.799988,876.799988,876.799988,876.799988,876.799988,124311,,,,
2/22/2023,833,833,833,833,833,61103,,,,
2/23/2023,791.349976,791.349976,791.349976,791.349976,791.349976,52041,,,,
2/24/2023,751.799988,751.799988,751.799988,751.799988,751.799988,141442,,,,
